DATE,MAX_TEMPERATURE_C
04052015,27
05052015,23
06052015,25
07052015,29
08052015,27
09052015,28
10052015,31
11052015,32
12052015,37
13052015,36
14052015,31
15052015,27
16052015,30
17052015,32
18052015,31
19052015,25
20052015,24
21052015,28
22052015,29
23052015,27
24052015,27
25052015,27
26052015,28
27052015,31
28052015,30
29052015,27
30052015,30
31052015,28
01062015,28
02062015,30
03062015,32
04062015,33
05062015,32
06062015,35
07062015,32
08062015,31
09062015,30
10062015,28
11062015,23
12062015,27
13062015,23
14062015,25
15062015,25
16062015,27
17062015,30
18062015,33
19062015,32
20062015,31
21062015,30
22062015,32
23062015,29
24062015,26
25062015,28
26062015,34
27062015,36
28062015,35
29062015,34
30062015,33
01072015,30
02072015,30
03072015,31
04072015,31
05072015,32
06072015,36
07072015,33
08072015,34
09072015,31
10072015,30
11072015,31
12072015,32
13072015,33
14072015,35
15072015,35
16072015,34
17072015,33
18072015,32
19072015,32
20072015,34
21072015,33
22072015,35
23072015,34
24072015,32
25072015,30
26072015,32
27072015,34
28072015,34
29072015,32
30072015,32
31072015,29
